,station,month,day,year,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,date_string,date,aqi_PM10,aqi_PM2.5
11557,Shunyi,3,1,2013,13.0,14.0,3.0,23.0,500.0,78.0,5.2,1033.4,-17.3,0.0,9.4,3-1-2013,2013-03-01,13.0,53.0
3106,Dingling,3,1,2013,8.0,10.0,3.0,4.0,300.0,84.0,5.8,1027.0,-16.6,0.0,4.4,3-1-2013,2013-03-01,9.0,33.0
1664,Changping,3,1,2013,11.0,101.0,43.0,42.0,700.0,94.0,6.0,1027.2,-16.6,0.0,4.4,3-1-2013,2013-03-01,74.0,46.0
4468,Dongsi,3,1,2013,19.0,23.0,17.0,60.0,700.0,92.0,6.2,1032.9,-19.0,0.0,5.7,3-1-2013,2013-03-01,21.0,66.0
7241,Gucheng,3,1,2013,16.0,28.0,16.0,20.0,1200.0,61.0,1.6,1028.6,-17.4,0.0,1.9,3-1-2013,2013-03-01,26.0,59.0
14359,Wanliu,3,1,2013,15.0,29.0,30.0,71.0,700.0,61.0,6.2,1030.5,-16.7,0.0,5.1,3-1-2013,2013-03-01,27.0,57.0
8665,Huairou,3,1,2013,23.0,36.0,50.0,38.0,800.0,91.0,5.7,1027.9,-19.2,0.0,4.9,3-1-2013,2013-03-01,33.0,74.0
237,Aotizhongxin,3,1,2013,24.0,24.0,26.0,57.0,700.0,77.0,6.2,1030.5,-16.7,0.0,5.6,3-1-2013,2013-03-01,22.0,76.0
10110,Nongzhanguan,3,1,2013,17.0,23.0,20.0,56.0,600.0,89.0,6.2,1032.9,-19.0,0.0,5.7,3-1-2013,2013-03-01,21.0,61.0
15747,Wanshouxigong,3,1,2013,15.0,18.0,14.0,41.0,500.0,73.0,6.6,1029.6,-17.9,0.0,4.8,3-1-2013,2013-03-01,17.0,57.0
5824,Guanyuan,3,1,2013,14.0,28.0,24.0,60.0,600.0,79.0,6.2,1030.5,-16.7,0.0,5.6,3-1-2013,2013-03-01,26.0,55.0
12937,Tiantan,3,1,2013,15.0,34.0,17.0,52.0,800.0,83.0,6.2,1032.9,-19.0,0.0,5.7,3-1-2013,2013-03-01,31.0,57.0
10114,Nongzhanguan,3,2,2013,92.0,114.0,78.0,118.0,2899.0,57.0,4.3,1033.2,-14.5,0.0,3.1,3-2-2013,2013-03-02,80.0,170.0
5828,Guanyuan,3,2,2013,86.0,102.0,57.0,108.0,1899.0,57.0,3.9,1031.3,-12.3,0.0,3.1,3-2-2013,2013-03-02,74.0,167.0
8669,Huairou,3,2,2013,97.0,103.0,79.0,100.0,1800.0,67.0,2.8,1027.9,-10.1,0.0,4.8,3-2-2013,2013-03-02,75.0,172.0
