,date
0,2014-01-01
4,2014-01-02
8,2014-01-03
12,2014-01-04
16,2014-01-05
20,2014-01-06
24,2014-01-07
28,2014-01-08
32,2014-01-09
36,2014-01-10
40,2014-01-11
44,2014-01-12
48,2014-01-13
52,2014-01-14
56,2014-01-15
60,2014-01-16
64,2014-01-17
68,2014-01-18
72,2014-01-19
76,2014-01-20
80,2014-01-21
84,2014-01-22
88,2014-01-23
92,2014-01-24
96,2014-01-25
100,2014-01-26
104,2014-01-27
108,2014-01-28
112,2014-01-29
116,2014-01-30
120,2014-01-31
124,2014-02-01
128,2014-02-02
132,2014-02-03
136,2014-02-04
140,2014-02-05
144,2014-02-06
148,2014-02-07
152,2014-02-08
156,2014-02-09
160,2014-02-10
164,2014-02-11
168,2014-02-12
172,2014-02-13
176,2014-02-14
180,2014-02-15
184,2014-02-16
188,2014-02-17
192,2014-02-18
196,2014-02-19
200,2014-02-20
204,2014-02-21
208,2014-02-22
212,2014-02-23
216,2014-02-24
220,2014-02-25
224,2014-02-26
228,2014-02-27
232,2014-02-28
237,2013-03-01
238,2014-03-01
241,2013-03-02
242,2014-03-02
245,2013-03-03
246,2014-03-03
249,2013-03-04
250,2014-03-04
253,2013-03-05
254,2014-03-05
257,2013-03-06
258,2014-03-06
261,2013-03-07
262,2014-03-07
265,2013-03-08
266,2014-03-08
269,2013-03-09
270,2014-03-09
273,2013-03-10
274,2014-03-10
277,2013-03-11
278,2014-03-11
281,2013-03-12
282,2014-03-12
285,2013-03-13
286,2014-03-13
289,2013-03-14
290,2014-03-14
293,2013-03-15
294,2014-03-15
297,2013-03-16
298,2014-03-16
301,2013-03-17
302,2014-03-17
305,2013-03-18
306,2014-03-18
309,2013-03-19
310,2014-03-19
313,2013-03-20
314,2014-03-20
317,2013-03-21
318,2014-03-21
321,2013-03-22
322,2014-03-22
325,2013-03-23
326,2014-03-23
329,2014-03-24
332,2013-03-25
333,2014-03-25
336,2013-03-26
337,2014-03-26
340,2013-03-27
341,2014-03-27
344,2013-03-28
345,2014-03-28
348,2013-03-29
349,2014-03-29
352,2013-03-30
353,2014-03-30
356,2013-03-31
357,2014-03-31
360,2013-04-01
361,2014-04-01
364,2013-04-02
365,2014-04-02
368,2013-04-03
369,2014-04-03
372,2013-04-04
373,2014-04-04
376,2013-04-05
377,2014-04-05
380,2013-04-06
381,2014-04-06
384,2013-04-07
385,2014-04-07
388,2013-04-08
389,2014-04-08
392,2013-04-09
393,2014-04-09
396,2013-04-10
397,2014-04-10
400,2013-04-11
401,2014-04-11
404,2013-04-12
