,CO
0,3100.0
4,5000.0
8,4800.0
12,3500.0
16,3700.0
20,3800.0
24,3500.0
28,1000.0
32,1500.0
36,2500.0
40,6000.0
44,1200.0
48,3300.0
52,4600.0
56,5700.0
60,8100.0
64,4700.0
68,2900.0
72,4000.0
76,500.0
80,2100.0
84,3900.0
88,5800.0
92,5700.0
96,1800.0
100,2200.0
104,2700.0
108,1700.0
112,3700.0
116,3400.0
120,1900.0
124,2200.0
128,2900.0
132,400.0
136,1100.0
140,3100.0
144,3500.0
148,1600.0
152,2300.0
156,600.0
160,1100.0
164,2600.0
168,4600.0
172,4200.0
176,4500.0
180,6100.0
184,5800.0
188,2900.0
192,2000.0
196,2300.0
200,2800.0
204,3400.0
208,4600.0
212,4800.0
216,5100.0
220,7400.0
224,5700.0
228,1300.0
232,2600.0
237,700.0
238,1300.0
241,1700.0
242,3300.0
245,2799.0
246,6700.0
249,1300.0
250,4800.0
253,4400.0
254,1100.0
257,4200.0
258,900.0
261,5700.0
262,1700.0
265,5200.0
266,3100.0
269,2600.0
270,2200.0
273,1500.0
274,2700.0
277,2600.0
278,4000.0
281,2100.0
282,1300.0
285,800.0
286,1100.0
289,1700.0
290,800.0
293,3200.0
294,2400.0
297,3299.0
298,3700.0
301,3500.0
302,2600.0
305,4099.0
306,1100.0
309,1200.0
310,1600.0
313,1300.0
314,600.0
317,1899.0
318,1500.0
321,1700.0
322,1900.0
325,1500.0
326,2200.0
329,2800.0
332,1399.0
333,2500.0
336,2899.0
337,2900.0
340,1399.0
341,6000.0
344,1500.0
345,2800.0
348,3299.0
349,3000.0
352,2799.0
353,900.0
356,1700.0
357,3400.0
360,3299.0
361,1400.0
364,2200.0
365,1500.0
368,3200.0
369,700.0
372,3000.0
373,1200.0
376,2299.0
377,600.0
380,700.0
381,1000.0
384,3100.0
385,1300.0
388,700.0
389,2100.0
392,500.0
393,2000.0
396,900.0
397,2000.0
400,1300.0
401,1700.0
404,1100.0
405,1900.0
408,1300.0
409,1600.0
412,1700.0
413,2400.0
416,2399.0
417,1300.0
420,1399.0
421,1200.0
424,1100.0
425,1500.0
428,500.0
429,2200.0
432,1300.0
433,1300.0
436,900.0
437,1200.0
440,1000.0
441,900.0
444,1700.0
445,800.0
448,1600.0
449,2000.0
452,1800.0
453,1100.0
456,900.0
457,1700.0
460,1700.0
461,400.0
464,1200.0
467,2500.0
470,700.0
471,1100.0
474,700.0
475,1200.0
478,600.0
479,1000.0
482,1200.0
483,700.0
486,1500.0
487,900.0
490,900.0
491,700.0
494,2100.0
495,900.0
498,2100.0
499,1500.0
502,1800.0
503,2700.0
506,2200.0
507,1500.0
510,900.0
511,2400.0
514,1200.0
515,1500.0
518,1000.0
519,1300.0
522,1100.0
523,1100.0
526,3100.0
527,1200.0
530,3000.0
531,500.0
534,3299.0
535,1100.0
538,1399.0
539,1300.0
542,2000.0
543,1600.0
546,2700.0
547,1100.0
550,900.0
551,1700.0
